Age Pensioners-Count,Persons Aged 65 Years and Over,Age Pensioners-Percent,SAL2 Code,SAL2 Name,Children in Welfare-Dependent and Other Low Income Families - Count?,Children in Welfare-Dependent and Other Low Income Families - Percent?,Disability Support Pensioners - Percent,Disability Support Pensioners - Percent,Health Care Card Holders - Count ,Health Care Card Holders - Percent,Pensioner Concession Card Holders - Count,Pensioner Concession Card Holders - Percent,Seniors Health Card Holders - Count,Seniors Health Card Holders - Percent,People Receiving an Unemployment Benefit - Count,People Receiving an Unemployment Benefit - Percent,People Receiving an Unemployment Benefit Long-Term - Count ,People Receiving an Unemployment Benefit Long-Term - Percent,Young People Aged 16 to 24 Receiving an Unemployment Benefit - Count ,Young People Aged 16 to 24 Receiving an Unemployment Benefit - Percent,Welfare-Dependent and Other Low Income Families With Children - Count ,Welfare-Dependent and Other Low Income Families With Children - Percent,Total Families
2237.113546,3002.945701,74.4973026,206021111,Northcote,356.406503,8.34790773,3.984860045,698.8218417,1541.237212,7.067841826,3290.869136,15.88187213,227.5405154,7.577243747,506.6274258,2.888918557,39.76436191,1.668139141,678.2032836,3.867287778,229.7496466,4.022173521,5712.07695
1477,2796,52.82546495,208011172,Hampton,395,9.880590334,5.052532553,571,667,4.359762076,2303,16.06445313,386,13.80543634,204,1.805107953,null,null,263,2.327173488,233,5.218365062,4465
1894,2344,80.80204778,206021112,Thornbury,428,14.05582923,5.07278669,683,1345,8.147071294,2970,18.67102533,136,5.802047782,499,3.706179441,49,2.734375,632,4.693998812,272,6.284658041,4328
180.5525993,757.2627332,23.84279476,206041126,Southbank,75.3955909,8.913062881,0.925119635,126.320683,455.0190047,3.137970353,370.3643062,2.562225476,119.0456698,15.72052402,137.5638852,1.007460126,16.53412081,0.541010969,203.0390036,1.486972398,58.20010526,2.278612118,2554.190983
1098,1529,71.8116416,206031113,Ascot Vale,478,17.34091844,5.127948187,526,1222,9.389887813,2039,17.14165616,135,8.829300196,503,4.903722316,44,2.660999645,595,5.800625801,285,8.263264714,3449
0,0,23.84279476,206041127,West Melbourne,0,8.913062881,0.925119635,0,0,3.137970353,0,2.562225476,0,15.72052402,0,1.007460126,0,0.541010969,0,1.486972398,0,2.278612118,0
2393.882015,3660.014102,65.40636042,206031114,Essendon - Aberfeldie,343.3688141,7.379800875,2.723225858,494.6838848,1250.612592,5.480771956,3162.743635,14.28947061,386.6940694,10.56537102,347.8953334,1.915157531,42.67860967,1.299293444,461.7049591,2.541677467,212.0997571,3.409917871,6220.084036
1308.117985,1999.985898,65.40636042,206031116,Moonee Ponds,187.6311859,7.379800875,2.723225858,270.3161152,683.3874076,5.480771956,1728.256365,14.28947061,211.3059306,10.56537102,190.1046666,1.915157531,23.32139033,1.299293444,252.2950409,2.541677467,115.9002429,3.409917871,3398.915964
477,882,54.08163265,206041117,Carlton,501,41.65751296,2.965495729,422,1257,8.144884339,1158,7.633990375,104,11.79138322,384,2.698460568,26,0.408141751,472,3.316857782,240,11.44492132,2097
609.1110657,787.6778277,77.32997481,206041121,Kensington,611.0951409,40.07133022,4.020224926,333.3246223,718.235198,7.31682668,1114.058187,12.19326819,51.58595345,6.549118388,260.90588,3.146783201,null,null,319.4360964,3.852715554,299.595345,12.64656616,2368.985708
256,778,32.90488432,206041122,Melbourne,132,13.62593669,0.921115546,254,767,2.687079596,590,2.077464789,55,7.06940874,276,1.000897208,48,0.461793369,374,1.356288246,99,2.715304443,3646
727.5691648,991.6764719,73.36759371,212031303,Cranbourne South,396.0110699,20.51448287,3.224955369,170.2757666,489.5428291,6.789456178,1081.910637,16.9683577,70.74838191,7.134220073,141.7965451,2.685570228,30.27790921,3.377195811,195.7571754,3.707563126,212.2451457,11.28466688,1880.827746
780,1239,62.95399516,206041123,North Melbourne,717,39.74483238,4.599152993,693,1751,10.3781413,1839,11.21478229,97,7.82889427,607,4.028406734,52,1.384086033,743,4.930982214,361,11.98141387,3013
237,784,30.22959184,206041124,Parkville,69,16.80987502,1.972377457,115,779,12.48197404,388,5.852187029,91,11.60714286,70,1.200577583,null,null,106,1.818017483,45,5.357142857,840
983,2291,42.9070275,206051128,Albert Park,122,5.616181721,2.003730686,218,433,3.317499234,1281,9.666465439,372,16.23745089,131,1.204076697,null,null,187,1.718796506,80,2.151115891,3719
627,1121,55.93220339,206051129,Elwood,194,8.933804444,2.390163264,306,690,4.607987178,1096,7.816846159,178,15.87867975,274,2.14021155,null,null,377,2.944743629,143,4.253420583,3362
0.552923352,1.025342607,53.92571697,206051131,Port Melbourne Industrial,0.149438744,14.45816876,4.55546336,0.27043592,0.295021004,4.23265786,0.941946147,13.45266781,0.133048688,12.97602257,0.133530749,2.249310786,0.015425935,3.002204628,0.172095586,2.898931229,0.096412093,5.28262018,1.825080917
804,1545,52.03883495,206051132,South Melbourne,270,18.85859309,6.316422799,551,512,5.041851305,1539,14.89979669,129,8.349514563,245,2.808572751,25,2.217704167,298,3.41614155,171,7.086614173,2413
1307.297629,2065.86032,63.2810271,206051133,St Kilda,403.1521995,17.45230367,5.11200224,1065.642071,1452.880368,6.274340113,2717.15152,11.80477312,180.3575629,8.730385164,644.2183539,3.09038631,50.09932304,1.859652414,867.6023942,4.161984125,226.3310594,4.83627204,4679.866175
910.7023707,1439.13968,63.2810271,206051134,St Kilda East,280.8478005,17.45230367,5.11200224,742.3579289,1012.119632,6.274340113,1892.84848,11.80477312,125.6424371,8.730385164,448.7816461,3.09038631,34.90067696,1.859652414,604.3976058,4.161984125,157.6689406,4.83627204,3260.133825
1103.293944,1956.191701,56.40009326,206061137,South Yarra - East,191.5599241,12.58927819,3.253271946,444.692681,835.1100501,5.497507957,1759.614731,11.21772505,169.2112663,8.650034973,299.6544527,2.192204789,28.27789356,1.369915137,415.0465022,3.03638715,127.250521,3.95240119,3219.57501
699.7178254,2883.956037,24.26243037,206061138,Toorak,89.24972263,5.018450597,1.708351556,157.67451,440.2986317,3.999783795,928.7921135,7.596107056,368.3038554,12.77078605,127.9246024,1.386021074,null,null,172.5494638,1.869516797,59.49981509,1.862197393,3195.14007
323.9726248,549.3612453,58.97260274,206071139,Abbotsford,72.62104133,9.659201695,4.377393264,196.4154589,322.4675255,6.155282626,586.9887279,11.56755153,63.21417069,11.50684932,105.733226,2.356412849,9.406870639,1.404569132,138.092861,3.077592582,45.15297907,3.965631196,1138.607622
600.9343922,1083.528352,55.46088304,206071140,Carlton North - Princes Hill,131.7691335,11.53905663,3.614876761,243.3952147,626.5328545,7.955877651,967.2861551,12.29661243,136.8048966,12.62587142,182.546411,2.711157571,15.10728919,1.354500152,247.172037,3.670969676,79.73291517,4.228800356,1885.47362
831.0656078,1498.471648,55.46088304,206071143,Fitzroy North,182.2308665,11.53905663,3.614876761,336.6047853,866.4671455,7.955877651,1337.713845,12.29661243,189.1951034,12.62587142,252.453589,2.711157571,20.89271081,1.354500152,341.827963,3.670969676,110.2670848,4.228800356,2607.52638
1981,2948,67.19810041,206071144,Richmond (Vic.),828,25.63031063,3.874535195,906,1808,6.793416999,3494,13.20483749,196,6.648575305,727,3.109036519,60,1.963061722,927,3.964342302,493,8.005846054,6158
537.0273752,910.6387547,58.97260274,206071145,Yarra - North,120.3789587,9.659201695,4.377393264,325.5845411,534.5324745,6.155282626,973.0112721,11.56755153,104.7858293,11.50684932,175.266774,2.356412849,15.59312936,1.404569132,228.907139,3.077592582,74.84702093,3.965631196,1887.392378
1229.630949,2975.59284,41.32389798,207011147,Balwyn,218.0258943,7.169487696,1.761777304,185.5632863,784.8054828,5.781785276,1512.58206,10.97949306,543.5293422,18.26625387,149.5912072,1.420250735,15.35393622,0.599639018,201.7945903,1.915880757,143.4496327,3.417284983,4197.766163
611,1128,54.16666667,207011146,Ashburton (Vic.),227,12.1189472,4.262822376,220,378,5.373898209,952,14.84947746,157,13.91843972,110,2.131411188,null,null,143,2.770834544,141,7.171922686,1966
681.8269977,1678.434752,40.62278839,207011152,Hawthorn East,91.86054789,4.370128345,1.999842035,223.7121102,646.587391,4.865766813,979.9778277,7.533329275,275.185693,16.39537627,132.2475129,1.182207504,11.87851912,0.48416526,182.5332439,1.631729519,63.74805263,2.023629965,3150.183272
1460.527113,4050.181347,36.06078317,207011153,Kew,214.620948,4.748765779,2.586100455,427.6638009,912.9280768,4.335606685,2029.430435,9.712624146,692.7837955,17.10500682,194.1057104,1.173765151,null,null,258.0185662,1.560248798,144.3957114,2.431247509,5939.161309
1573.369051,3807.40716,41.32389798,207011148,Balwyn North,278.9741057,7.169487696,1.761777304,237.4367137,1004.194517,5.781785276,1935.41794,10.97949306,695.4706578,18.26625387,191.4087928,1.420250735,19.64606378,0.599639018,258.2054097,1.915880757,183.5503673,3.417284983,5371.233837
1457.911016,3487.060102,41.80917373,207011149,Camberwell,182.238877,4.419436561,1.677751397,227.9379226,764.6230557,4.317588193,1768.887448,10.18417506,656.5058015,18.82691386,127.6229444,0.939376699,null,null,179.4523498,1.320870293,119.2633629,2.26143929,5273.781324
1158.088984,2769.939898,41.80917373,207011155,Surrey Hills (West) - Canterbury,144.761123,4.419436561,1.677751397,181.0620774,607.3769443,4.317588193,1405.112552,10.18417506,521.4941985,18.82691386,101.3770556,0.939376699,null,null,142.5476502,1.320870293,94.73663708,2.26143929,4189.218676
928,2346,39.55669224,207011150,Glen Iris - East,135,3.680275405,1.327417988,146,562,3.831731097,1119,8.250995428,510,21.73913043,97,0.88191469,null,null,138,1.254682755,88,2.044134727,4305
1040.173002,2560.565248,40.62278839,207011151,Hawthorn,140.1394521,4.370128345,1.999842035,341.2878898,986.412609,4.865766813,1495.022172,7.533329275,419.814307,16.39537627,201.7524871,1.182207504,18.12148088,0.48416526,278.4667561,1.631729519,97.25194737,2.023629965,4805.816728
1709.756869,2763.945804,61.8592762,207021156,Bulleen,240.2137749,13.65864933,3.501688453,247.6507339,728.0782838,8.244557666,2138.125706,21.51382497,438.0368837,15.84824432,191.1298457,2.702504302,16.36130975,1.26604271,247.6507339,3.501688453,152.457659,4.781898764,3188.224313
2888.243131,4669.054196,61.8592762,207021157,Doncaster,405.7862251,13.65864933,3.501688453,418.3492661,1229.921716,8.244557666,3611.874294,21.51382497,739.9631163,15.84824432,322.8701543,2.702504302,27.63869025,1.26604271,418.3492661,3.501688453,257.542341,4.781898764,5385.775687
3574,5428,65.84377303,207021158,Doncaster East,719,14.79371031,2.692123559,494,1877,8.087031452,4449,18.41930943,813,14.97789241,452,2.46323856,45,1.261979544,573,3.122645342,431,5.536998972,7784
